2008,北京,184
2009,北京,203
2010,北京,224
2011,北京,252
2012,北京,277
2013,北京,305
2014,北京,332
2015,北京,358
2016,北京,384
2017,北京,412
2018,北京,442
2019,北京,471
2008,上海,210
2009,上海,230
2010,上海,254
2011,上海,283
2012,上海,306
2013,上海,334
2014,上海,363
2015,上海,389
2016,上海,413
2017,上海,439
2018,上海,468
2019,上海,496
2008,广东,773
2009,广东,811
2010,广东,897
2011,广东,1005
2012,广东,1127
2013,广东,1254
2014,广东,1379
2015,广东,1496
2016,广东,1610
2017,广东,1735
2018,广东,1867
2019,广东,1995
2008,江苏,586
2009,江苏,632
2010,江苏,695
2011,江苏,777
2012,江苏,871
2013,江苏,964
2014,江苏,1059
2015,江苏,1149
2016,江苏,1238
2017,江苏,1330
2018,江苏,1426
2019,江苏,1524
2008,山东,523
2009,山东,559
2010,山东,615
2011,山东,685
2012,山东,757
2013,山东,835
2014,山东,922
2015,山东,1007
2016,山东,1088
2017,山东,1169
2018,山东,1251
2019,山东,1333
2008,浙江,260
2009,浙江,280
2010,浙江,312
2011,浙江,352
2012,浙江,382
2013,浙江,412
2014,浙江,445
2015,浙江,476
2016,浙江,505
2017,浙江,537
2018,浙江,569
2019,浙江,600
2008,四川,295
2009,四川,319
2010,四川,354
2011,四川,401
2012,四川,448
2013,四川,495
2014,四川,541
2015,四川,588
2016,四川,634
2017,四川,681
2018,四川,727
2019,四川,775
2008,湖北,229
2009,湖北,258
2010,湖北,287
2011,湖北,324
2012,湖北,362
2013,湖北,402
2014,湖北,443
2015,湖北,484
2016,湖北,525
2017,湖北,566
2018,湖北,607
2019,湖北,648
